,Tarih,Saat,Toplam (MWh),ISPARTA WindSpeed(m/s)
223,10.02.2018,07:00,16.57,(6.061866325232564+0j)
224,10.02.2018,08:00,11.37,(5.346698241314769+0j)
225,10.02.2018,09:00,3.47,(3.599774896058479+0j)
226,10.02.2018,10:00,3.52,(3.616982494539509+0j)
227,10.02.2018,11:00,3.94,(3.7554696767414004+0j)
228,10.02.2018,12:00,3.92,(3.74910446169871+0j)
229,10.02.2018,13:00,8.67,(4.884707371623171+0j)
230,10.02.2018,14:00,25.91,(7.035926975828251+0j)
231,10.02.2018,15:00,37.3,(7.944534639566235+0j)
232,10.02.2018,16:00,48.15,(8.650295619831397+0j)
233,10.02.2018,17:00,48.45,(8.66822374494105+0j)
234,10.02.2018,18:00,52.2,(8.886328288350672+0j)
235,10.02.2018,19:00,56.48,(9.122847498285546+0j)
236,10.02.2018,20:00,56.72,(9.135751118734186+0j)
237,10.02.2018,21:00,58.7,(9.240842171415746+0j)
238,10.02.2018,22:00,53.76,(8.973983617971896+0j)
239,10.02.2018,23:00,56.51,(9.124462447425016+0j)
240,11.02.2018,00:00,54.21,(8.998953094518361+0j)
241,11.02.2018,01:00,52.86,(8.923623502626482+0j)
242,11.02.2018,02:00,48.73,(8.684890013047772+0j)
243,11.02.2018,03:00,51.79,(8.863001498176455+0j)
244,11.02.2018,04:00,58.4,(9.225072785533648+0j)
245,11.02.2018,05:00,59.46,(9.280552260323525+0j)
246,11.02.2018,06:00,57.65,(9.185411621705077+0j)
247,11.02.2018,07:00,58.99,(9.256034920748828+0j)
248,11.02.2018,08:00,57.23,(9.163050941584268+0j)
249,11.02.2018,09:00,45.86,(8.51092707207765+0j)
250,11.02.2018,10:00,36.2,(7.865657696819681+0j)
251,11.02.2018,11:00,47.44,(8.607567012351973+0j)
252,11.02.2018,12:00,55.34,(9.061050912643962+0j)
253,11.02.2018,13:00,59.97,(9.307010459566621+0j)
254,11.02.2018,14:00,59.89,(9.302870099587631+0j)
255,11.02.2018,15:00,59.02,(9.257603740256965+0j)
256,11.02.2018,16:00,59.99,(9.308044974159655+0j)
257,11.02.2018,17:00,56.48,(9.122847498285546+0j)
258,11.02.2018,18:00,55.03,(9.044100020467214+0j)
259,11.02.2018,19:00,52.37,(8.89596455161949+0j)
260,11.02.2018,20:00,56.94,(9.147547500226661+0j)
261,11.02.2018,21:00,50.58,(8.793433036590054+0j)
262,11.02.2018,22:00,41.21,(8.212960306724455+0j)
263,11.02.2018,23:00,43.08,(8.335354671865518+0j)
264,12.02.2018,00:00,29.33,(7.332794936986023+0j)
265,12.02.2018,01:00,32.04,(7.552018088609863+0j)
266,12.02.2018,02:00,29.48,(7.34527419002111+0j)
267,12.02.2018,03:00,22.58,(6.720581182066627+0j)
268,12.02.2018,04:00,17.15,(6.131784649020189+0j)
269,12.02.2018,05:00,15.99,(5.990296792700967+0j)
270,12.02.2018,06:00,19.92,(6.445579416349511+0j)
271,12.02.2018,07:00,10.24,(5.163357209113135+0j)
272,12.02.2018,08:00,5.42,(4.176687166738688+0j)
273,12.02.2018,09:00,3.29,(3.5364225541386096+0j)
274,12.02.2018,10:00,4.71,(3.985711148502362+0j)
275,12.02.2018,11:00,4.06,(3.7932156197669507+0j)
276,12.02.2018,12:00,3.03,(3.4406967339702748+0j)
277,12.02.2018,13:00,5.92,(4.301362930015113+0j)
278,12.02.2018,14:00,6.97,(4.541957977105918+0j)
279,12.02.2018,15:00,17.01,(6.115053911983126+0j)
280,12.02.2018,16:00,16.85,(6.095820275479861+0j)
281,12.02.2018,17:00,17.75,(6.202474272319931+0j)
282,12.02.2018,18:00,10.8,(5.255815413445877+0j)
283,12.02.2018,19:00,10.19,(5.15493959195438+0j)
284,12.02.2018,20:00,12.17,(5.469265989186612+0j)
285,12.02.2018,21:00,12.89,(5.575063582971847+0j)
286,12.02.2018,22:00,15.1,(5.8770290145733854+0j)
287,12.02.2018,23:00,14.84,(5.8431022474869305+0j)
288,13.02.2018,00:00,21.02,(6.56210370617868+0j)
289,13.02.2018,01:00,26.42,(7.081791291742067+0j)
290,13.02.2018,02:00,25.33,(6.983030125579712+0j)
291,13.02.2018,03:00,26.22,(7.063876235977954+0j)
292,13.02.2018,04:00,23.25,(6.786406002446001+0j)
293,13.02.2018,05:00,18.4,(6.277279409200014+0j)
294,13.02.2018,06:00,13.37,(5.643423662429985+0j)
295,13.02.2018,07:00,10.6,(5.223169754959267+0j)
296,13.02.2018,08:00,11.4,(5.351396572591129+0j)
297,13.02.2018,09:00,3.69,(3.6742974194207254+0j)
298,13.02.2018,10:00,0.97,(2.353727042805112+0j)
299,13.02.2018,11:00,9.08,(4.960523010546616+0j)
300,13.02.2018,12:00,14.66,(5.8193816795231745+0j)
301,13.02.2018,13:00,12.52,(5.521201898767784+0j)
302,13.02.2018,14:00,13.37,(5.643423662429985+0j)
303,13.02.2018,15:00,22.46,(6.708654659786811+0j)
304,13.02.2018,16:00,22.19,(6.681663803817834+0j)
305,13.02.2018,17:00,10.44,(5.196756308544028+0j)
306,13.02.2018,18:00,6.25,(4.379846177871563+0j)
307,13.02.2018,19:00,1.24,(2.554501021966464+0j)
308,13.02.2018,20:00,2.09,(3.0400515483660486+0j)
309,13.02.2018,21:00,2.15,(3.068868920869489+0j)
310,13.02.2018,22:00,1.8,(2.8923866881362197+0j)
311,13.02.2018,23:00,0.71,(2.1212163631096264+0j)
312,14.02.2018,00:00,1.77,(2.8762277661249143+0j)
313,14.02.2018,01:00,4.44,(3.908047578687626+0j)
314,14.02.2018,02:00,9.93,(5.110718201953816+0j)
315,14.02.2018,03:00,25.63,(7.010490219852903+0j)
316,14.02.2018,04:00,17.58,(6.182609391981943+0j)
317,14.02.2018,05:00,30.05,(7.392312954108699+0j)
318,14.02.2018,06:00,46.44,(8.54665662895747+0j)
319,14.02.2018,07:00,39.01,(8.064129668753965+0j)
320,14.02.2018,08:00,46.03,(8.521430586200644+0j)
321,14.02.2018,09:00,53.52,(8.960609554014233+0j)
322,14.02.2018,10:00,46.9,(8.574782901586193+0j)
323,14.02.2018,11:00,52.4,(8.897662903045179+0j)
324,14.02.2018,12:00,55.38,(9.063233509600025+0j)
325,14.02.2018,13:00,45.62,(8.496054298964635+0j)
326,14.02.2018,14:00,52.15,(8.883490112402807+0j)
327,14.02.2018,15:00,37.58,(7.9643641896334305+0j)
328,14.02.2018,16:00,34.79,(7.762179149721216+0j)
329,14.02.2018,17:00,20.34,(6.490564975665231+0j)
330,14.02.2018,18:00,35.96,(7.848236471019259+0j)
331,14.02.2018,19:00,26.09,(7.052182544525532+0j)
332,14.02.2018,20:00,21.14,(6.5745673708947745+0j)
333,14.02.2018,21:00,41.88,(8.257230537669962+0j)
334,14.02.2018,22:00,40.2,(8.145308482532672+0j)
335,14.02.2018,23:00,32.97,(7.624391141493721+0j)
336,15.02.2018,00:00,38.97,(8.061372465472543+0j)
337,15.02.2018,01:00,31.36,(7.49820892339742+0j)
338,15.02.2018,02:00,35.77,(7.834389614052589+0j)
339,15.02.2018,03:00,38.26,(8.012115001189777+0j)
340,15.02.2018,04:00,33.05,(7.630552890728957+0j)
341,15.02.2018,05:00,31.59,(7.516495371093167+0j)
