,Tarih,Saat,Toplam (MWh),BURSA WindSpeed(m/s)
310,13.02.2018,22:00,24.0,(8.329048905180615+0j)
311,13.02.2018,23:00,38.0,(9.707771164485267+0j)
312,14.02.2018,00:00,40.0,(9.875179427869071+0j)
313,14.02.2018,01:00,50.0,(10.637714564845169+0j)
314,14.02.2018,02:00,53.0,(10.846350171583701+0j)
315,14.02.2018,03:00,54.0,(10.914141620098563+0j)
316,14.02.2018,04:00,54.0,(10.914141620098563+0j)
317,14.02.2018,05:00,54.0,(10.914141620098563+0j)
318,14.02.2018,06:00,54.0,(10.914141620098563+0j)
319,14.02.2018,07:00,54.0,(10.914141620098563+0j)
320,14.02.2018,08:00,54.0,(10.914141620098563+0j)
321,14.02.2018,09:00,54.0,(10.914141620098563+0j)
322,14.02.2018,10:00,54.0,(10.914141620098563+0j)
323,14.02.2018,11:00,54.0,(10.914141620098563+0j)
324,14.02.2018,12:00,55.0,(10.981101219190249+0j)
325,14.02.2018,13:00,53.0,(10.846350171583701+0j)
326,14.02.2018,14:00,45.0,(10.270600488822707+0j)
327,14.02.2018,15:00,54.0,(10.914141620098563+0j)
328,14.02.2018,16:00,54.0,(10.914141620098563+0j)
329,14.02.2018,17:00,51.0,(10.708165058791522+0j)
330,14.02.2018,18:00,41.0,(9.956796182200662+0j)
331,14.02.2018,19:00,35.0,(9.445269331521574+0j)
332,14.02.2018,20:00,30.0,(8.972195948146599+0j)
333,14.02.2018,21:00,19.0,(7.7050630793852335+0j)
334,14.02.2018,22:00,20.0,(7.837935106087043+0j)
335,14.02.2018,23:00,15.0,(7.121236643276363+0j)
336,15.02.2018,00:00,21.0,(7.966448686778112+0j)
337,15.02.2018,01:00,29.0,(8.871376223704617+0j)
338,15.02.2018,02:00,25.0,(8.443159645386329+0j)
339,15.02.2018,03:00,9.0,(6.006283602283066+0j)
340,15.02.2018,04:00,8.0,(5.77503996302479+0j)
341,15.02.2018,05:00,5.0,(4.937589713934536+0j)
342,15.02.2018,06:00,4.0,(4.5836522562319715+0j)
343,15.02.2018,07:00,3.0,(4.164524452590308+0j)
344,15.02.2018,08:00,2.0,(3.6380472066995213+0j)
345,15.02.2018,09:00,5.0,(4.937589713934536+0j)
346,15.02.2018,10:00,7.0,(5.523627013513412+0j)
347,15.02.2018,11:00,1.0,(2.887519981512395+0j)
348,15.02.2018,12:00,0.0,0j
349,15.02.2018,13:00,3.0,(4.164524452590308+0j)
350,15.02.2018,14:00,2.0,(3.6380472066995213+0j)
351,15.02.2018,15:00,12.0,(6.610770496989144+0j)
352,15.02.2018,16:00,22.0,(8.090944556251047+0j)
353,15.02.2018,17:00,38.0,(9.707771164485267+0j)
354,15.02.2018,18:00,48.0,(10.493944041240903+0j)
355,15.02.2018,19:00,51.0,(10.708165058791522+0j)
356,15.02.2018,20:00,52.0,(10.777700546527747+0j)
357,15.02.2018,21:00,53.0,(10.846350171583701+0j)
358,15.02.2018,22:00,53.0,(10.846350171583701+0j)
359,15.02.2018,23:00,54.0,(10.914141620098563+0j)
360,16.02.2018,00:00,54.0,(10.914141620098563+0j)
361,16.02.2018,01:00,54.0,(10.914141620098563+0j)
362,16.02.2018,02:00,54.0,(10.914141620098563+0j)
363,16.02.2018,03:00,54.0,(10.914141620098563+0j)
364,16.02.2018,04:00,54.0,(10.914141620098563+0j)
365,16.02.2018,05:00,54.0,(10.914141620098563+0j)
366,16.02.2018,06:00,54.0,(10.914141620098563+0j)
367,16.02.2018,07:00,54.0,(10.914141620098563+0j)
368,16.02.2018,08:00,54.0,(10.914141620098563+0j)
369,16.02.2018,09:00,55.0,(10.981101219190249+0j)
370,16.02.2018,10:00,55.0,(10.981101219190249+0j)
371,16.02.2018,11:00,54.0,(10.914141620098563+0j)
372,16.02.2018,12:00,54.0,(10.914141620098563+0j)
373,16.02.2018,13:00,53.0,(10.846350171583701+0j)
374,16.02.2018,14:00,55.0,(10.981101219190249+0j)
375,16.02.2018,15:00,54.0,(10.914141620098563+0j)
376,16.02.2018,16:00,54.0,(10.914141620098563+0j)
377,16.02.2018,17:00,50.0,(10.637714564845169+0j)
378,16.02.2018,18:00,54.0,(10.914141620098563+0j)
379,16.02.2018,19:00,54.0,(10.914141620098563+0j)
380,16.02.2018,20:00,52.0,(10.777700546527747+0j)
381,16.02.2018,21:00,46.0,(10.346122322273992+0j)
382,16.02.2018,22:00,40.0,(9.875179427869071+0j)
383,16.02.2018,23:00,38.0,(9.707771164485267+0j)
384,17.02.2018,00:00,30.0,(8.972195948146599+0j)
385,17.02.2018,01:00,46.0,(10.346122322273992+0j)
386,17.02.2018,02:00,51.0,(10.708165058791522+0j)
387,17.02.2018,03:00,38.0,(9.707771164485267+0j)
388,17.02.2018,04:00,30.0,(8.972195948146599+0j)
389,17.02.2018,05:00,38.0,(9.707771164485267+0j)
390,17.02.2018,06:00,39.0,(9.792190803236888+0j)
391,17.02.2018,07:00,43.0,(10.116131902558433+0j)
392,17.02.2018,08:00,50.0,(10.637714564845169+0j)
393,17.02.2018,09:00,52.0,(10.777700546527747+0j)
394,17.02.2018,10:00,48.0,(10.493944041240903+0j)
395,17.02.2018,11:00,48.0,(10.493944041240903+0j)
396,17.02.2018,12:00,54.0,(10.914141620098563+0j)
397,17.02.2018,13:00,50.0,(10.637714564845169+0j)
398,17.02.2018,14:00,50.0,(10.637714564845169+0j)
399,17.02.2018,15:00,42.0,(10.037096393379112+0j)
400,17.02.2018,16:00,38.0,(9.707771164485267+0j)
401,17.02.2018,17:00,44.0,(10.193951359953028+0j)
402,17.02.2018,18:00,49.0,(10.566318356153731+0j)
403,17.02.2018,19:00,42.0,(10.037096393379112+0j)
404,17.02.2018,20:00,35.0,(9.445269331521574+0j)
405,17.02.2018,21:00,38.0,(9.707771164485267+0j)
406,17.02.2018,22:00,27.0,(8.662559944537184+0j)
407,17.02.2018,23:00,22.0,(8.090944556251047+0j)
408,18.02.2018,00:00,16.0,(7.276094413399043+0j)
409,18.02.2018,01:00,10.0,(6.220973216330527+0j)
410,18.02.2018,02:00,9.0,(6.006283602283066+0j)
411,18.02.2018,03:00,9.0,(6.006283602283066+0j)
412,18.02.2018,04:00,5.0,(4.937589713934536+0j)
413,18.02.2018,05:00,1.0,(2.887519981512395+0j)
414,18.02.2018,06:00,0.0,0j
415,18.02.2018,07:00,0.0,0j
416,18.02.2018,08:00,5.0,(4.937589713934536+0j)
417,18.02.2018,09:00,0.0,0j
418,18.02.2018,10:00,0.0,0j
419,18.02.2018,11:00,0.0,0j
420,18.02.2018,12:00,0.0,0j
421,18.02.2018,13:00,1.0,(2.887519981512395+0j)
422,18.02.2018,14:00,1.0,(2.887519981512395+0j)
423,18.02.2018,15:00,1.0,(2.887519981512395+0j)
424,18.02.2018,16:00,3.0,(4.164524452590308+0j)
425,18.02.2018,17:00,5.0,(4.937589713934536+0j)
426,18.02.2018,18:00,3.0,(4.164524452590308+0j)
427,18.02.2018,19:00,4.0,(4.5836522562319715+0j)
428,18.02.2018,20:00,8.0,(5.77503996302479+0j)
429,18.02.2018,21:00,9.0,(6.006283602283066+0j)
430,18.02.2018,22:00,12.0,(6.610770496989144+0j)
431,18.02.2018,23:00,12.0,(6.610770496989144+0j)
432,19.02.2018,00:00,17.0,(7.424626971120629+0j)
433,19.02.2018,01:00,16.0,(7.276094413399043+0j)
434,19.02.2018,02:00,7.0,(5.523627013513412+0j)
435,19.02.2018,03:00,27.0,(8.662559944537184+0j)
436,19.02.2018,04:00,37.0,(9.621857179459921+0j)
437,19.02.2018,05:00,41.0,(9.956796182200662+0j)
438,19.02.2018,06:00,45.0,(10.270600488822707+0j)
439,19.02.2018,07:00,38.0,(9.707771164485267+0j)
440,19.02.2018,08:00,27.0,(8.662559944537184+0j)
441,19.02.2018,09:00,22.0,(8.090944556251047+0j)
442,19.02.2018,10:00,28.0,(8.768211331931154+0j)
443,19.02.2018,11:00,41.0,(9.956796182200662+0j)
444,19.02.2018,12:00,52.0,(10.777700546527747+0j)
445,19.02.2018,13:00,46.0,(10.346122322273992+0j)
446,19.02.2018,14:00,33.0,(9.26181946924992+0j)
447,19.02.2018,15:00,54.0,(10.914141620098563+0j)
448,19.02.2018,16:00,55.0,(10.981101219190249+0j)
449,19.02.2018,17:00,51.0,(10.708165058791522+0j)
450,19.02.2018,18:00,47.0,(10.42055741620353+0j)
451,19.02.2018,19:00,17.0,(7.424626971120629+0j)
452,19.02.2018,20:00,20.0,(7.837935106087043+0j)
453,19.02.2018,21:00,24.0,(8.329048905180615+0j)
454,19.02.2018,22:00,27.0,(8.662559944537184+0j)
455,19.02.2018,23:00,22.0,(8.090944556251047+0j)
456,20.02.2018,00:00,17.0,(7.424626971120629+0j)
457,20.02.2018,01:00,7.0,(5.523627013513412+0j)
458,20.02.2018,02:00,7.0,(5.523627013513412+0j)
459,20.02.2018,03:00,7.0,(5.523627013513412+0j)
460,20.02.2018,04:00,5.0,(4.937589713934536+0j)
461,20.02.2018,05:00,4.0,(4.5836522562319715+0j)
462,20.02.2018,06:00,6.0,(5.2469720206204515+0j)
463,20.02.2018,07:00,6.0,(5.2469720206204515+0j)
464,20.02.2018,08:00,6.0,(5.2469720206204515+0j)
465,20.02.2018,09:00,6.0,(5.2469720206204515+0j)
466,20.02.2018,10:00,5.0,(4.937589713934536+0j)
467,20.02.2018,11:00,5.0,(4.937589713934536+0j)
468,20.02.2018,12:00,2.0,(3.6380472066995213+0j)
469,20.02.2018,13:00,5.0,(4.937589713934536+0j)
470,20.02.2018,14:00,9.0,(6.006283602283066+0j)
471,20.02.2018,15:00,17.0,(7.424626971120629+0j)
472,20.02.2018,16:00,17.0,(7.424626971120629+0j)
473,20.02.2018,17:00,18.0,(7.567443142154841+0j)
474,20.02.2018,18:00,11.0,(6.421786950004645+0j)
