,Tarih,Saat,Toplam (MWh),KIRLARELI WindSpeed(m/s)
308,13.02.2018,20:00,2.34,(3.6756729185927357+0j)
309,13.02.2018,21:00,6.26,(5.102578370996776+0j)
310,13.02.2018,22:00,12.88,(6.489882895857827+0j)
311,13.02.2018,23:00,19.38,(7.4367439756121625+0j)
312,14.02.2018,00:00,30.31,(8.632307151708432+0j)
313,14.02.2018,01:00,34.13,(8.980703028659201+0j)
314,14.02.2018,02:00,30.6,(8.659750540382959+0j)
315,14.02.2018,03:00,23.9,(7.97500332973212+0j)
316,14.02.2018,04:00,23.67,(7.9493385270100125+0j)
317,14.02.2018,05:00,24.33,(8.022547104056132+0j)
318,14.02.2018,06:00,25.2,(8.117053709877153+0j)
319,14.02.2018,07:00,21.97,(7.7542820136862325+0j)
320,14.02.2018,08:00,25.03,(8.098759877069826+0j)
321,14.02.2018,09:00,31.1,(8.706662347010724+0j)
322,14.02.2018,10:00,50.6,(10.240356553102366+0j)
323,14.02.2018,11:00,39.5,(9.428963139267456+0j)
324,14.02.2018,12:00,51.4,(10.294042234338102+0j)
325,14.02.2018,13:00,44.75,(9.829450786644637+0j)
326,14.02.2018,14:00,44.95,(9.844072527479426+0j)
327,14.02.2018,15:00,48.55,(10.100153732712785+0j)
328,14.02.2018,16:00,36.81,(9.20987025113418+0j)
329,14.02.2018,17:00,42.38,(9.652768488054285+0j)
330,14.02.2018,18:00,53.55,(10.435615387295629+0j)
331,14.02.2018,19:00,50.5,(10.233606151308932+0j)
332,14.02.2018,20:00,30.5,(8.65030696632659+0j)
333,14.02.2018,21:00,18.01,(7.257206435409759+0j)
334,14.02.2018,22:00,10.75,(6.110373077117799+0j)
335,14.02.2018,23:00,7.1,(5.3212993268067015+0j)
336,15.02.2018,00:00,6.58,(5.188082464976238+0j)
337,15.02.2018,01:00,1.06,(2.8229305550059274+0j)
338,15.02.2018,02:00,0.58,(2.308913008586024+0j)
339,15.02.2018,03:00,0.12,(1.3656057018218093+0j)
340,15.02.2018,04:00,0.65,(2.398295494753236+0j)
341,15.02.2018,05:00,1.44,(3.1264565931749275+0j)
