,Tarih,Saat,Toplam (MWh),YALOVA WindSpeed(m/s)
445,19.02.2018,13:00,32.0,(8.233750615919378+0j)
446,19.02.2018,14:00,30.0,(8.058510962929244+0j)
447,19.02.2018,15:00,35.0,(8.483408843919547+0j)
448,19.02.2018,16:00,30.0,(8.058510962929244+0j)
449,19.02.2018,17:00,39.0,(8.795001513010876+0j)
450,19.02.2018,18:00,33.0,(8.318640627219+0j)
451,19.02.2018,19:00,22.0,(7.2670019451002315+0j)
452,19.02.2018,20:00,31.0,(8.147073119737046+0j)
453,19.02.2018,21:00,29.0,(7.9679582309792645+0j)
454,19.02.2018,22:00,17.0,(6.668538916027042+0j)
455,19.02.2018,23:00,16.51,(6.6038430122155996+0j)
456,20.02.2018,00:00,21.0,(7.155184132071494+0j)
457,20.02.2018,01:00,18.0,(6.796811379826778+0j)
458,20.02.2018,02:00,11.0,(5.76782326615353+0j)
459,20.02.2018,03:00,5.0,(4.434769489002025+0j)
460,20.02.2018,04:00,7.0,(4.961127588026532+0j)
461,20.02.2018,05:00,7.0,(4.961127588026532+0j)
462,20.02.2018,06:00,8.0,(5.186937860290851+0j)
463,20.02.2018,07:00,6.0,(4.712645799837591+0j)
464,20.02.2018,08:00,4.0,(4.116875307959689+0j)
465,20.02.2018,09:00,2.0,(3.267566097338558+0j)
466,20.02.2018,10:00,1.0,(2.5934689301454257+0j)
467,20.02.2018,11:00,1.0,(2.5934689301454257+0j)
468,20.02.2018,12:00,1.0,(2.5934689301454257+0j)
469,20.02.2018,13:00,0.0,0j
470,20.02.2018,14:00,0.0,0j
471,20.02.2018,15:00,1.0,(2.5934689301454257+0j)
472,20.02.2018,16:00,0.0,0j
473,20.02.2018,17:00,1.0,(2.5934689301454257+0j)
474,20.02.2018,18:00,1.0,(2.5934689301454257+0j)
475,20.02.2018,19:00,0.0,0j
476,20.02.2018,20:00,0.0,0j
477,20.02.2018,21:00,0.0,0j
478,20.02.2018,22:00,0.0,0j
479,20.02.2018,23:00,-0.17,(0.7183465786258139+1.2442127716231806j)
480,21.02.2018,00:00,0.0,0j
481,21.02.2018,01:00,0.0,0j
482,21.02.2018,02:00,0.0,0j
483,21.02.2018,03:00,0.0,0j
484,21.02.2018,04:00,0.0,0j
485,21.02.2018,05:00,0.0,0j
486,21.02.2018,06:00,0.0,0j
487,21.02.2018,07:00,0.0,0j
488,21.02.2018,08:00,0.0,0j
489,21.02.2018,09:00,0.0,0j
490,21.02.2018,10:00,0.0,0j
491,21.02.2018,11:00,0.0,0j
