,Tarih,Saat,Toplam (MWh),CNK WindSpeed(m/s)
279,12.02.2018,15:00,3.6,(4.509371190715937+0j)
280,12.02.2018,16:00,1.7,(3.5115440935332733+0j)
281,12.02.2018,17:00,0.17,(1.629914385328295+0j)
282,12.02.2018,18:00,0.68,(2.5873278098882366+0j)
283,12.02.2018,19:00,3.28,(4.371593453051619+0j)
284,12.02.2018,20:00,2.26,(3.86116148413179+0j)
285,12.02.2018,21:00,2.21,(3.8324742322374763+0j)
286,12.02.2018,22:00,2.45,(3.966467015398774+0j)
287,12.02.2018,23:00,3.23,(4.349266233085637+0j)
288,13.02.2018,00:00,1.06,(2.999971351490563+0j)
289,13.02.2018,01:00,0.08,(1.2677836540734886+0j)
290,13.02.2018,02:00,0.0,0j
291,13.02.2018,03:00,0.0,0j
292,13.02.2018,04:00,0.0,0j
293,13.02.2018,05:00,0.58,(2.453717065961409+0j)
294,13.02.2018,06:00,0.03,(0.9142302151651225+0j)
295,13.02.2018,07:00,0.22,(1.7761898307379596+0j)
296,13.02.2018,08:00,0.25,(1.8535109463636024+0j)
297,13.02.2018,09:00,0.0,0j
298,13.02.2018,10:00,0.0,0j
299,13.02.2018,11:00,0.0,0j
300,13.02.2018,12:00,0.64,(2.535567308146977+0j)
301,13.02.2018,13:00,0.05,(1.0839397770277779+0j)
302,13.02.2018,14:00,0.47,(2.2876053573969695+0j)
303,13.02.2018,15:00,1.67,(3.490765239649747+0j)
304,13.02.2018,16:00,3.78,(4.583308449769536+0j)
305,13.02.2018,17:00,3.75,(4.571151075825612+0j)
306,13.02.2018,18:00,6.08,(5.37010790165733+0j)
307,13.02.2018,19:00,8.32,(5.961967364696734+0j)
308,13.02.2018,20:00,14.15,(7.116513850472528+0j)
309,13.02.2018,21:00,11.1,(6.563308404973528+0j)
310,13.02.2018,22:00,7.78,(5.8300867633609466+0j)
311,13.02.2018,23:00,5.03,(5.041245112896067+0j)
312,14.02.2018,00:00,8.78,(6.069878402257396+0j)
313,14.02.2018,01:00,12.04,(6.743582080561852+0j)
314,14.02.2018,02:00,13.88,(7.070958814954278+0j)
315,14.02.2018,03:00,20.21,(8.014392172034821+0j)
316,14.02.2018,04:00,24.35,(8.52801863794236+0j)
317,14.02.2018,05:00,29.67,(9.10865670723259+0j)
318,14.02.2018,06:00,35.73,(9.690796885268675+0j)
319,14.02.2018,07:00,39.29,(10.002513861996686+0j)
320,14.02.2018,08:00,28.36,(8.972577698535138+0j)
321,14.02.2018,09:00,23.1,(8.379520072371912+0j)
322,14.02.2018,10:00,16.37,(7.470758749457225+0j)
323,14.02.2018,11:00,34.53,(9.58106996911625+0j)
324,14.02.2018,12:00,21.83,(8.223052522742954+0j)
325,14.02.2018,13:00,44.85,(10.453682401386148+0j)
326,14.02.2018,14:00,36.32,(9.743846468459378+0j)
327,14.02.2018,15:00,50.88,(10.902619441399933+0j)
328,14.02.2018,16:00,44.09,(10.394298515965689+0j)
329,14.02.2018,17:00,50.0,(10.839397770277778+0j)
330,14.02.2018,18:00,36.64,(9.772379124646639+0j)
331,14.02.2018,19:00,35.97,(9.71244632194625+0j)
332,14.02.2018,20:00,32.81,(9.41926963430426+0j)
333,14.02.2018,21:00,30.84,(9.226846070749229+0j)
334,14.02.2018,22:00,26.65,(8.788489201381964+0j)
335,14.02.2018,23:00,1.41,(3.2992978437387044+0j)
336,15.02.2018,00:00,1.42,(3.3070792353996947+0j)
337,15.02.2018,01:00,0.03,(0.9142302151651225+0j)
338,15.02.2018,02:00,0.0,0j
339,15.02.2018,03:00,0.0,0j
340,15.02.2018,04:00,0.13,(1.4904918411741837+0j)
341,15.02.2018,05:00,4.24,(4.76215767923058+0j)
342,15.02.2018,06:00,8.24,(5.942796919277691+0j)
343,15.02.2018,07:00,16.17,(7.440209404941469+0j)
344,15.02.2018,08:00,18.13,(7.729435076693304+0j)
345,15.02.2018,09:00,20.42,(8.04205548073074+0j)
346,15.02.2018,10:00,14.85,(7.231981450457763+0j)
347,15.02.2018,11:00,15.93,(7.403215832116195+0j)
348,15.02.2018,12:00,18.93,(7.841491757747041+0j)
349,15.02.2018,13:00,24.04,(8.491673877733891+0j)
350,15.02.2018,14:00,31.62,(9.303987270171586+0j)
351,15.02.2018,15:00,46.44,(10.575783605746533+0j)
352,15.02.2018,16:00,47.75,(10.674305075909942+0j)
353,15.02.2018,17:00,50.84,(10.899761611795512+0j)
354,15.02.2018,18:00,55.46,(11.220402615000003+0j)
355,15.02.2018,19:00,59.45,(11.483275174210675+0j)
356,15.02.2018,20:00,57.8,(11.376039686116634+0j)
357,15.02.2018,21:00,58.1,(11.395687462091232+0j)
358,15.02.2018,22:00,56.74,(11.306068076855176+0j)
359,15.02.2018,23:00,56.27,(11.274763928449774+0j)
360,16.02.2018,00:00,59.17,(11.465218666360625+0j)
361,16.02.2018,01:00,54.41,(11.149140650634582+0j)
362,16.02.2018,02:00,59.83,(11.507689976999519+0j)
363,16.02.2018,03:00,56.29,(11.276099563589728+0j)
364,16.02.2018,04:00,53.67,(11.098365351107239+0j)
365,16.02.2018,05:00,54.98,(11.187938339193893+0j)
366,16.02.2018,06:00,53.3,(11.07280254159492+0j)
367,16.02.2018,07:00,53.04,(11.05476862931743+0j)
368,16.02.2018,08:00,57.49,(11.355665430811912+0j)
369,16.02.2018,09:00,56.58,(11.295430819649953+0j)
370,16.02.2018,10:00,55.67,(11.234546843607783+0j)
371,16.02.2018,11:00,54.92,(11.183867036673124+0j)
372,16.02.2018,12:00,56.03,(11.25871156443398+0j)
373,16.02.2018,13:00,54.58,(11.16074013213767+0j)
374,16.02.2018,14:00,54.02,(11.122438479785261+0j)
375,16.02.2018,15:00,51.25,(10.928983632629047+0j)
376,16.02.2018,16:00,47.17,(10.630910071372488+0j)
377,16.02.2018,17:00,45.93,(10.536926907612184+0j)
378,16.02.2018,18:00,44.38,(10.417038076745083+0j)
379,16.02.2018,19:00,43.66,(10.360396967794987+0j)
380,16.02.2018,20:00,42.31,(10.25249329867384+0j)
381,16.02.2018,21:00,38.85,(9.965034960780729+0j)
382,16.02.2018,22:00,26.54,(8.776380796617758+0j)
383,16.02.2018,23:00,27.66,(8.898139516748481+0j)
384,17.02.2018,00:00,28.25,(8.96096201476093+0j)
385,17.02.2018,01:00,37.18,(9.820153600496567+0j)
386,17.02.2018,02:00,36.43,(9.753673403803205+0j)
387,17.02.2018,03:00,33.24,(9.460240066407337+0j)
388,17.02.2018,04:00,37.06,(9.809577228715773+0j)
389,17.02.2018,05:00,33.6,(9.494269999957929+0j)
390,17.02.2018,06:00,31.29,(9.271507202595432+0j)
391,17.02.2018,07:00,30.61,(9.20385134332248+0j)
392,17.02.2018,08:00,35.17,(9.639901768427022+0j)
393,17.02.2018,09:00,37.38,(9.837730429841956+0j)
394,17.02.2018,10:00,36.52,(9.761698920372893+0j)
395,17.02.2018,11:00,33.86,(9.518696292048672+0j)
396,17.02.2018,12:00,32.49,(9.3885471014808+0j)
397,17.02.2018,13:00,32.78,(9.416397905579236+0j)
398,17.02.2018,14:00,29.48,(9.089171793252929+0j)
399,17.02.2018,15:00,24.3,(8.522177527458776+0j)
400,17.02.2018,16:00,22.12,(8.259305427328526+0j)
401,17.02.2018,17:00,17.14,(7.586103404468477+0j)
402,17.02.2018,18:00,20.44,(8.044680172653626+0j)
403,17.02.2018,19:00,8.47,(5.9975833072588935+0j)
404,17.02.2018,20:00,11.29,(6.6005450511617045+0j)
405,17.02.2018,21:00,19.63,(7.936979382865735+0j)
406,17.02.2018,22:00,22.07,(8.253077627178353+0j)
407,17.02.2018,23:00,20.1,(7.999825333265869+0j)
408,18.02.2018,00:00,13.52,(7.009290335835271+0j)
409,18.02.2018,01:00,13.93,(7.079439224634569+0j)
410,18.02.2018,02:00,11.77,(6.692791668336841+0j)
411,18.02.2018,03:00,12.75,(6.87361517115553+0j)
412,18.02.2018,04:00,10.7,(6.483503429084249+0j)
413,18.02.2018,05:00,10.13,(6.366268737693819+0j)
414,18.02.2018,06:00,4.28,(4.777086170857866+0j)
415,18.02.2018,07:00,2.62,(4.0561647149904+0j)
416,18.02.2018,08:00,3.12,(4.299322434960328+0j)
417,18.02.2018,09:00,2.28,(3.8725179068348514+0j)
418,18.02.2018,10:00,2.25,(3.855458135380555+0j)
419,18.02.2018,11:00,2.41,(3.9447622470683816+0j)
420,18.02.2018,12:00,3.75,(4.571151075825612+0j)
421,18.02.2018,13:00,4.59,(4.889743155984884+0j)
422,18.02.2018,14:00,3.2,(4.3357591081111115+0j)
423,18.02.2018,15:00,4.83,(4.9735237469734495+0j)
424,18.02.2018,16:00,7.82,(5.840061268288812+0j)
425,18.02.2018,17:00,3.73,(4.563010094970382+0j)
426,18.02.2018,18:00,3.14,(4.308489461509831+0j)
427,18.02.2018,19:00,4.09,(4.70532459374016+0j)
428,18.02.2018,20:00,3.31,(4.38488105286185+0j)
429,18.02.2018,21:00,6.33,(5.442724966777635+0j)
430,18.02.2018,22:00,12.11,(6.756625792136498+0j)
431,18.02.2018,23:00,17.69,(7.666393318131132+0j)
432,19.02.2018,00:00,15.8,(7.3830223189312365+0j)
433,19.02.2018,01:00,15.7,(7.367413345691846+0j)
434,19.02.2018,02:00,18.3,(7.753518882677989+0j)
435,19.02.2018,03:00,22.96,(8.362557434746066+0j)
436,19.02.2018,04:00,30.26,(9.168637313291857+0j)
437,19.02.2018,05:00,28.82,(9.020829570208411+0j)
438,19.02.2018,06:00,41.3,(10.170254860070148+0j)
439,19.02.2018,07:00,35.58,(9.677216714891454+0j)
440,19.02.2018,08:00,43.96,(10.384072545938421+0j)
441,19.02.2018,09:00,51.37,(10.937506922207776+0j)
442,19.02.2018,10:00,47.69,(10.66983228884703+0j)
443,19.02.2018,11:00,40.51,(10.104990278597118+0j)
444,19.02.2018,12:00,46.88,(10.609079080033506+0j)
445,19.02.2018,13:00,45.62,(10.513167390402442+0j)
446,19.02.2018,14:00,33.36,(9.471610558200503+0j)
447,19.02.2018,15:00,46.32,(10.56666654639507+0j)
448,19.02.2018,16:00,43.96,(10.384072545938421+0j)
449,19.02.2018,17:00,39.36,(10.008450576722176+0j)
450,19.02.2018,18:00,40.18,(10.077476555037142+0j)
451,19.02.2018,19:00,47.79,(10.677284852762584+0j)
452,19.02.2018,20:00,45.69,(10.518541828768837+0j)
453,19.02.2018,21:00,34.73,(9.599532429206912+0j)
454,19.02.2018,22:00,39.47,(10.0177654950647+0j)
455,19.02.2018,23:00,37.31,(9.83158568718777+0j)
456,20.02.2018,00:00,36.5,(9.759916612697644+0j)
457,20.02.2018,01:00,32.52,(9.391435885386633+0j)
458,20.02.2018,02:00,34.54,(9.581994782825575+0j)
459,20.02.2018,03:00,32.56,(9.395284834950894+0j)
460,20.02.2018,04:00,31.73,(9.31476372078264+0j)
461,20.02.2018,05:00,28.01,(8.935513636304197+0j)
