,Tarih,Saat,Toplam (MWh),KONYA WindSpeed(m/s)
500,17.10.2018,20:00,0.08,(0.9940176309421529+0j)
501,17.10.2018,21:00,0.0,0j
502,17.10.2018,22:00,0.0,0j
503,17.10.2018,23:00,0.0,0j
504,18.10.2018,00:00,0.0,0j
505,18.10.2018,01:00,0.0,0j
506,18.10.2018,02:00,0.0,0j
507,18.10.2018,03:00,0.0,0j
508,18.10.2018,04:00,0.0,0j
509,18.10.2018,05:00,0.0,0j
510,18.10.2018,06:00,0.0,0j
511,18.10.2018,07:00,0.0,0j
512,18.10.2018,08:00,0.0,0j
513,18.10.2018,09:00,0.0,0j
