,Tarih,Saat,Toplam (MWh),AYDIN WindSpeed(m/s)
339,15.02.2018,03:00,8.4,(6.119801198528315+0j)
340,15.02.2018,04:00,7.3,(5.840076091943958+0j)
341,15.02.2018,05:00,10.5,(6.5923559991040515+0j)
342,15.02.2018,06:00,20.6,(8.252774130592655+0j)
343,15.02.2018,07:00,14.1,(7.2730614433046625+0j)
344,15.02.2018,08:00,24.8,(8.779331459677392+0j)
345,15.02.2018,09:00,32.5,(9.607388199466483+0j)
346,15.02.2018,10:00,38.0,(10.12135717823066+0j)
347,15.02.2018,11:00,36.5,(9.986389643985815+0j)
348,15.02.2018,12:00,42.8,(10.530738019468695+0j)
349,15.02.2018,13:00,45.0,(10.708165058791522+0j)
350,15.02.2018,14:00,45.0,(10.708165058791522+0j)
351,15.02.2018,15:00,45.0,(10.708165058791522+0j)
352,15.02.2018,16:00,45.0,(10.708165058791522+0j)
353,15.02.2018,17:00,45.0,(10.708165058791522+0j)
354,15.02.2018,18:00,45.0,(10.708165058791522+0j)
355,15.02.2018,19:00,44.1,(10.636296013746227+0j)
356,15.02.2018,20:00,41.3,(10.40624954512071+0j)
357,15.02.2018,21:00,34.0,(9.75297680441995+0j)
358,15.02.2018,22:00,35.2,(9.866393676408935+0j)
359,15.02.2018,23:00,36.6,(9.995501318423628+0j)
360,16.02.2018,00:00,41.0,(10.380991558554083+0j)
361,16.02.2018,01:00,34.2,(9.772062913383694+0j)
362,16.02.2018,02:00,36.0,(9.940579873073851+0j)
363,16.02.2018,03:00,39.0,(10.209373397626953+0j)
364,16.02.2018,04:00,30.7,(9.426641930972304+0j)
365,16.02.2018,05:00,28.5,(9.195863277986165+0j)
366,16.02.2018,06:00,38.6,(10.174349542957637+0j)
367,16.02.2018,07:00,42.6,(10.514309384337189+0j)
368,16.02.2018,08:00,44.5,(10.668357386303605+0j)
369,16.02.2018,09:00,43.1,(10.555285283155564+0j)
370,16.02.2018,10:00,36.0,(9.940579873073851+0j)
371,16.02.2018,11:00,23.8,(8.659707133547236+0j)
372,16.02.2018,12:00,16.9,(7.725734641271887+0j)
373,16.02.2018,13:00,5.2,(5.2156927556195685+0j)
374,16.02.2018,14:00,4.2,(4.857289430190049+0j)
375,16.02.2018,15:00,7.7,(5.9448530986261+0j)
376,16.02.2018,16:00,6.4,(5.589473184661069+0j)
377,16.02.2018,17:00,10.0,(6.486009079925218+0j)
378,16.02.2018,18:00,16.5,(7.66429478696886+0j)
379,16.02.2018,19:00,19.8,(8.144528532114073+0j)
380,16.02.2018,20:00,21.9,(8.422847234168742+0j)
381,16.02.2018,21:00,22.2,(8.461133429583517+0j)
382,16.02.2018,22:00,36.3,(9.968116246079372+0j)
383,16.02.2018,23:00,38.3,(10.147922542012997+0j)
384,17.02.2018,00:00,31.7,(9.527902545456174+0j)
385,17.02.2018,01:00,32.3,(9.58764017215151+0j)
386,17.02.2018,02:00,40.6,(10.34712185105253+0j)
387,17.02.2018,03:00,31.1,(9.467406295069976+0j)
388,17.02.2018,04:00,33.2,(9.675874948564317+0j)
389,17.02.2018,05:00,42.1,(10.473011592758978+0j)
390,17.02.2018,06:00,41.9,(10.456400920006852+0j)
391,17.02.2018,07:00,40.4,(10.330103527817526+0j)
392,17.02.2018,08:00,45.0,(10.708165058791522+0j)
393,17.02.2018,09:00,43.3,(10.57158690795+0j)
394,17.02.2018,10:00,42.8,(10.530738019468695+0j)
395,17.02.2018,11:00,39.2,(10.226795570325265+0j)
396,17.02.2018,12:00,36.9,(10.022737151464618+0j)
397,17.02.2018,13:00,39.9,(10.287310561975508+0j)
398,17.02.2018,14:00,34.6,(9.810013053098722+0j)
399,17.02.2018,15:00,42.0,(10.464712847926641+0j)
400,17.02.2018,16:00,39.6,(10.261462939079914+0j)
401,17.02.2018,17:00,44.2,(10.644329473003982+0j)
402,17.02.2018,18:00,44.8,(10.69227755020825+0j)
403,17.02.2018,19:00,42.9,(10.538933149639515+0j)
404,17.02.2018,20:00,43.8,(10.612122530378011+0j)
405,17.02.2018,21:00,45.0,(10.708165058791522+0j)
406,17.02.2018,22:00,44.2,(10.644329473003982+0j)
407,17.02.2018,23:00,38.7,(10.18312810602087+0j)
408,18.02.2018,00:00,25.9,(8.907260224166848+0j)
409,18.02.2018,01:00,23.3,(8.598635234499845+0j)
410,18.02.2018,02:00,31.7,(9.527902545456174+0j)
411,18.02.2018,03:00,30.0,(9.354443808532094+0j)
412,18.02.2018,04:00,30.2,(9.375185436990789+0j)
413,18.02.2018,05:00,28.0,(9.141768713023673+0j)
414,18.02.2018,06:00,29.7,(9.323157809592962+0j)
415,18.02.2018,07:00,27.4,(9.075998315131603+0j)
416,18.02.2018,08:00,23.5,(8.623167850278396+0j)
417,18.02.2018,09:00,21.4,(8.358252305053059+0j)
418,18.02.2018,10:00,23.7,(8.64756166580847+0j)
419,18.02.2018,11:00,32.3,(9.58764017215151+0j)
420,18.02.2018,12:00,27.5,(9.08702627046921+0j)
421,18.02.2018,13:00,30.5,(9.406126867364454+0j)
422,18.02.2018,14:00,40.4,(10.330103527817526+0j)
423,18.02.2018,15:00,42.9,(10.538933149639515+0j)
424,18.02.2018,16:00,43.4,(10.579718901085847+0j)
425,18.02.2018,17:00,44.0,(10.62825040098331+0j)
426,18.02.2018,18:00,42.8,(10.530738019468695+0j)
427,18.02.2018,19:00,40.8,(10.364084376256098+0j)
428,18.02.2018,20:00,34.3,(9.781578073156869+0j)
429,18.02.2018,21:00,28.0,(9.141768713023673+0j)
430,18.02.2018,22:00,16.6,(7.679747036031873+0j)
431,18.02.2018,23:00,9.6,(6.398349562851455+0j)
432,19.02.2018,00:00,9.7,(6.420489357132383+0j)
433,19.02.2018,01:00,10.0,(6.486009079925218+0j)
434,19.02.2018,02:00,10.7,(6.633949250828428+0j)
435,19.02.2018,03:00,9.9,(6.464316579831448+0j)
436,19.02.2018,04:00,4.5,(4.9702899365369255+0j)
437,19.02.2018,05:00,4.2,(4.857289430190049+0j)
438,19.02.2018,06:00,0.75,(2.7352559627263364+0j)
439,19.02.2018,07:00,2.45,(4.0585065116495125+0j)
440,19.02.2018,08:00,1.6,(3.521147461588707+0j)
441,19.02.2018,09:00,4.7,(5.042859150760187+0j)
442,19.02.2018,10:00,1.9,(3.7287398653591732+0j)
443,19.02.2018,11:00,1.2,(3.1991747814257274+0j)
444,19.02.2018,12:00,0.2,(1.7605737307943534+0j)
445,19.02.2018,13:00,0.7,(2.6730693875520624+0j)
446,19.02.2018,14:00,1.9,(3.7287398653591732+0j)
447,19.02.2018,15:00,0.0,0j
448,19.02.2018,16:00,0.1,(1.3973682961652671+0j)
449,19.02.2018,17:00,0.6,(2.539186706732667+0j)
450,19.02.2018,18:00,3.4,(4.5269308229880085+0j)
451,19.02.2018,19:00,3.0,(4.341948192634077+0j)
452,19.02.2018,20:00,1.8,(3.6621409367154727+0j)
453,19.02.2018,21:00,0.05,(1.1090919516598778+0j)
454,19.02.2018,22:00,0.05,(1.1090919516598778+0j)
455,19.02.2018,23:00,0.2,(1.7605737307943534+0j)
456,20.02.2018,00:00,0.2,(1.7605737307943534+0j)
457,20.02.2018,01:00,0.0,0j
458,20.02.2018,02:00,0.1,(1.3973682961652671+0j)
459,20.02.2018,03:00,0.35,(2.1216165788920676+0j)
460,20.02.2018,04:00,2.95,(4.317690992685784+0j)
461,20.02.2018,05:00,3.8,(4.697917845948198+0j)
462,20.02.2018,06:00,7.7,(5.9448530986261+0j)
463,20.02.2018,07:00,14.7,(7.37479575846166+0j)
464,20.02.2018,08:00,21.3,(8.345212888707984+0j)
465,20.02.2018,09:00,19.5,(8.10318503566459+0j)
466,20.02.2018,10:00,21.6,(8.384209776991602+0j)
467,20.02.2018,11:00,26.3,(8.952880790603228+0j)
468,20.02.2018,12:00,25.4,(8.849569096331733+0j)
469,20.02.2018,13:00,23.0,(8.561571691525161+0j)
