,Tarih,Saat,Toplam (MWh),AFYON WindSpeed(m/s)
388,17.02.2018,04:00,85.9,(7.757191751680914+0j)
389,17.02.2018,05:00,105.8,(8.315123327839656+0j)
390,17.02.2018,06:00,90.8,(7.901970825167718+0j)
391,17.02.2018,07:00,105.3,(8.302003830934348+0j)
392,17.02.2018,08:00,108.9,(8.395555410428383+0j)
393,17.02.2018,09:00,82.6,(7.656556438314658+0j)
394,17.02.2018,10:00,66.8,(7.133439132287474+0j)
395,17.02.2018,11:00,66.9,(7.136996957880979+0j)
396,17.02.2018,12:00,73.3,(7.357689628786976+0j)
397,17.02.2018,13:00,104.4,(8.278283690714328+0j)
398,17.02.2018,14:00,120.6,(8.686055000067933+0j)
399,17.02.2018,15:00,171.8,(9.773449176013667+0j)
400,17.02.2018,16:00,181.2,(9.948544269567726+0j)
401,17.02.2018,17:00,182.0,(9.963163753155333+0j)
402,17.02.2018,18:00,187.0,(10.053578528857633+0j)
403,17.02.2018,19:00,188.0,(10.071467496349868+0j)
404,17.02.2018,20:00,163.0,(9.60364299337732+0j)
405,17.02.2018,21:00,131.0,(8.928885166922184+0j)
406,17.02.2018,22:00,169.0,(9.720062122661908+0j)
407,17.02.2018,23:00,162.9,(9.601678656445173+0j)
408,18.02.2018,00:00,140.1,(9.13102469797046+0j)
409,18.02.2018,01:00,104.9,(8.291478299735658+0j)
410,18.02.2018,02:00,133.3,(8.980837856130709+0j)
411,18.02.2018,03:00,117.4,(8.608540057695132+0j)
412,18.02.2018,04:00,100.3,(8.168464953421068+0j)
413,18.02.2018,05:00,60.0,(6.882674363950042+0j)
414,18.02.2018,06:00,57.0,(6.7659963257309705+0j)
415,18.02.2018,07:00,66.6,(7.126312814724243+0j)
416,18.02.2018,08:00,61.25,(6.93014258370625+0j)
417,18.02.2018,09:00,54.0,(6.6451490360910705+0j)
418,18.02.2018,10:00,49.35,(6.448655718337202+0j)
419,18.02.2018,11:00,27.85,(5.329034586251504+0j)
420,18.02.2018,12:00,11.65,(3.9854935826167925+0j)
421,18.02.2018,13:00,8.15,(3.53801232892991+0j)
422,18.02.2018,14:00,12.4,(4.069246832546353+0j)
423,18.02.2018,15:00,13.05,(4.139141845357164+0j)
424,18.02.2018,16:00,12.8,(4.112539941815071+0j)
425,18.02.2018,17:00,14.0,(4.237237601769498+0j)
426,18.02.2018,18:00,32.0,(5.581575433506511+0j)
427,18.02.2018,19:00,31.0,(5.5228176442684225+0j)
428,18.02.2018,20:00,43.0,(6.159275415435669+0j)
429,18.02.2018,21:00,42.0,(6.111154110442452+0j)
430,18.02.2018,22:00,46.0,(6.299306639977284+0j)
431,18.02.2018,23:00,49.5,(6.455182702264615+0j)
432,19.02.2018,00:00,78.1,(7.514910575350201+0j)
433,19.02.2018,01:00,63.0,(6.995525148661811+0j)
434,19.02.2018,02:00,48.9,(6.428995060592537+0j)
435,19.02.2018,03:00,39.3,(5.977289938237642+0j)
436,19.02.2018,04:00,41.5,(6.086806624752893+0j)
437,19.02.2018,05:00,35.7,(5.788902181370246+0j)
438,19.02.2018,06:00,38.4,(5.931308963954841+0j)
439,19.02.2018,07:00,35.3,(5.767200376229719+0j)
440,19.02.2018,08:00,38.6,(5.941588549450059+0j)
441,19.02.2018,09:00,54.3,(6.657432149138116+0j)
442,19.02.2018,10:00,32.9,(5.6334196593494035+0j)
443,19.02.2018,11:00,41.7,(6.096568961648828+0j)
444,19.02.2018,12:00,51.7,(6.549432241497195+0j)
445,19.02.2018,13:00,29.2,(5.413786060617856+0j)
446,19.02.2018,14:00,44.5,(6.230077885595833+0j)
