,Tarih,Saat,Toplam (MWh),HATAY WindSpeed(m/s)
293,13.02.2018,05:00,14.0,(6.227021692278292+0j)
294,13.02.2018,06:00,2.18,(3.3500904379099534+0j)
295,13.02.2018,07:00,2.28,(3.400551181146885+0j)
296,13.02.2018,08:00,0.28,(1.6902737380438826+0j)
297,13.02.2018,09:00,0.0,0j
298,13.02.2018,10:00,0.0,0j
299,13.02.2018,11:00,1.12,(2.68314230988508+0j)
300,13.02.2018,12:00,13.74,(6.188232337878415+0j)
301,13.02.2018,13:00,33.03,(8.289733289432181+0j)
302,13.02.2018,14:00,40.67,(8.885102130371921+0j)
303,13.02.2018,15:00,29.6,(7.992235463988629+0j)
304,13.02.2018,16:00,18.82,(6.872439201037461+0j)
305,13.02.2018,17:00,38.06,(8.690817456998602+0j)
306,13.02.2018,18:00,46.93,(9.319398545452593+0j)
307,13.02.2018,19:00,50.34,(9.539862250124711+0j)
308,13.02.2018,20:00,45.14,(9.199372789957991+0j)
309,13.02.2018,21:00,37.45,(8.644136987795015+0j)
310,13.02.2018,22:00,41.6,(8.952317512266758+0j)
311,13.02.2018,23:00,33.31,(8.313091824100013+0j)
312,14.02.2018,00:00,40.5,(8.872704975710834+0j)
313,14.02.2018,01:00,28.61,(7.902120585135185+0j)
314,14.02.2018,02:00,28.8,(7.919574756131796+0j)
315,14.02.2018,03:00,18.78,(6.867566856829913+0j)
316,14.02.2018,04:00,5.93,(4.676517866013232+0j)
317,14.02.2018,05:00,5.85,(4.655392709022588+0j)
318,14.02.2018,06:00,0.84,(2.4377965723956865+0j)
319,14.02.2018,07:00,0.0,0j
320,14.02.2018,08:00,0.0,0j
321,14.02.2018,09:00,0.0,0j
322,14.02.2018,10:00,0.24,(1.6056151128612512+0j)
323,14.02.2018,11:00,0.71,(2.304926863892336+0j)
324,14.02.2018,12:00,2.6,(3.552729559131397+0j)
325,14.02.2018,13:00,2.58,(3.5435965379708008+0j)
326,14.02.2018,14:00,1.1,(2.66707520423242+0j)
327,14.02.2018,15:00,1.05,(2.626036751405045+0j)
328,14.02.2018,16:00,0.26,(1.6490309850510343+0j)
329,14.02.2018,17:00,0.65,(2.23807937806669+0j)
330,14.02.2018,18:00,0.0,0j
331,14.02.2018,19:00,0.0,0j
332,14.02.2018,20:00,0.0,0j
333,14.02.2018,21:00,0.0,0j
334,14.02.2018,22:00,0.0,0j
335,14.02.2018,23:00,0.0,0j
336,15.02.2018,00:00,0.98,(2.566333296197553+0j)
337,15.02.2018,01:00,0.71,(2.304926863892336+0j)
338,15.02.2018,02:00,2.37,(3.4447191182546515+0j)
339,15.02.2018,03:00,3.99,(4.097906061586554+0j)
340,15.02.2018,04:00,16.28,(6.548208515294705+0j)
341,15.02.2018,05:00,22.19,(7.260337353960367+0j)
